strategy,accuracy,macro_f1,macro_recall
sample_weight,0.23501700672921916,0.16186845327029742,0.18345485342650847
index_balancing,0.22870917412556888,0.1641129910010582,0.18547822930523467
focal_loss_only,0.26901966038404523,0.13356988969584355,0.1640899150028174
