,classification_accuracy,classification_auc,classification_f1_score,classification_fn,classification_fp,classification_loss,classification_precision,classification_recall,classification_top_k_categorical_accuracy,loss,reconstruction_loss,val_classification_accuracy,val_classification_auc,val_classification_f1_score,val_classification_fn,val_classification_fp,val_classification_loss,val_classification_precision,val_classification_recall,val_classification_top_k_categorical_accuracy,val_loss,val_reconstruction_loss,learning_rate
0,0.5421088337898254,0.39081013202667236,0.1444612294435501,126566.0,8688.0,0.16526231169700623,0.552649199962616,0.07817245274782181,0.9109898805618286,0.2103920727968216,0.01700679026544094,0.11476309597492218,0.5467050671577454,0.06027577817440033,216542.0,12539.0,0.9227627515792847,0.5420045256614685,0.06413231790065765,0.27527326345443726,0.9455553889274597,0.0025060728657990694,0.0010000000474974513
1,0.6086861491203308,0.43349435925483704,0.14714540541172028,131273.0,3535.0,0.08156075328588486,0.6302688121795654,0.0438896119594574,0.9859358072280884,0.09610725194215775,0.0006040198495611548,0.10954227298498154,0.5398846864700317,0.057088453322649,218673.0,6746.0,1.0851857662200928,0.6532332897186279,0.054922401905059814,0.2728703022003174,1.0944029092788696,0.0009103234042413533,0.0010000000474974513
2,0.6096184253692627,0.4394521713256836,0.14661073684692383,131679.0,3248.0,0.08071285486221313,0.6337392926216125,0.040932562202215195,0.986350953578949,0.09418337792158127,0.0005950709455646574,0.11355297267436981,0.5389862060546875,0.06056513264775276,216999.0,6554.0,1.1309996843338013,0.68695068359375,0.062157221138477325,0.2723214030265808,1.1388405561447144,0.0008924697758629918,0.0010000000474974513
3,0.6087371110916138,0.3829041123390198,0.14735400676727295,131408.0,3472.0,0.08089092373847961,0.6291787028312683,0.04290635883808136,0.9862125515937805,0.09370703995227814,0.0005747954710386693,0.09258323162794113,0.5379997491836548,0.04674772918224335,222324.0,11176.0,1.203424096107483,0.44763505458831787,0.03914323076605797,0.2588803768157959,1.2109777927398682,0.0008741040364839137,0.0010000000474974513
4,0.608453094959259,0.4346540570259094,0.1467534303665161,130512.0,3962.0,0.08238646388053894,0.6314075589179993,0.049432262778282166,0.9861615896224976,0.09788516908884048,0.0006834049709141254,0.11602940410375595,0.5440791845321655,0.060680970549583435,216475.0,10369.0,1.1269837617874146,0.589752733707428,0.0644218847155571,0.2760079801082611,1.1376042366027832,0.0012998045422136784,0.0005000000237487257
5,0.6085477471351624,0.38114601373672485,0.14843350648880005,129604.0,4649.0,0.08162467926740646,0.6233797669410706,0.056045565754175186,0.9862125515937805,0.09678666293621063,0.0006638392223976552,0.11376474052667618,0.5403955578804016,0.06088029965758324,216951.0,6545.0,1.152846097946167,0.6879618763923645,0.062364671379327774,0.2861254811286926,1.1631972789764404,0.001099000102840364,0.0005000000237487257
6,0.6082855463027954,0.38078805804252625,0.14708389341831207,130100.0,4292.0,0.0813034176826477,0.6264902949333191,0.05243301019072533,0.9862198829650879,0.09638369083404541,0.000650249479804188,0.115709587931633,0.5458579063415527,0.06144656613469124,216559.0,9520.0,1.1748645305633545,0.6089063882827759,0.06405884772539139,0.28762948513031006,1.185132384300232,0.0010229452745988965,0.0005000000237487257
7,0.6070692539215088,0.491054892539978,0.14918886125087738,129092.0,4976.0,0.08287728577852249,0.6225441694259644,0.05977465212345123,0.9861324429512024,0.10075798630714417,0.0007334121619351208,0.11437413096427917,0.545163094997406,0.06061094254255295,216614.0,11217.0,1.133741855621338,0.5683112740516663,0.06382114440202713,0.2717120349407196,1.148078441619873,0.0018723491812124848,0.0002500000118743628
8,0.6071566343307495,0.37423479557037354,0.14942477643489838,128522.0,5057.0,0.08235868066549301,0.6344513297080994,0.06392617523670197,0.9861907362937927,0.1000630334019661,0.0007250766502693295,0.1156274750828743,0.5450452566146851,0.06126632168889046,216497.0,10670.0,1.1262142658233643,0.5824528336524963,0.06432680040597916,0.2742576003074646,1.140226125717163,0.0018156060250476003,0.0002500000118743628
9,0.6067924499511719,0.37365347146987915,0.1489129364490509,128466.0,5145.0,0.08259925246238708,0.6319215893745422,0.06433404237031937,0.9862781167030334,0.10015960782766342,0.0007190014002844691,0.1149359717965126,0.5421298742294312,0.061286795884370804,216726.0,8968.0,1.1094896793365479,0.6203699707984924,0.06333709508180618,0.2732851803302765,1.123338222503662,0.001717923441901803,0.0002500000118743628
10,0.6066322326660156,0.4206419885158539,0.14961828291416168,127518.0,5783.0,0.08375158160924911,0.6284373998641968,0.0712386816740036,0.9861178994178772,0.10340229421854019,0.0007710091886110604,0.11559289693832397,0.5489864349365234,0.06087256968021393,216604.0,10369.0,1.0710833072662354,0.5876481533050537,0.06386436522006989,0.27399829030036926,1.0883314609527588,0.002145387465134263,0.0001250000059371814
