,precision,recall,f1-score,support
Normal,0.9184617417734902,0.8110631345547905,0.8614278631631135,17138.0
Attack,0.8139721934964954,0.9198805349954552,0.8636917824920751,15402.0
accuracy,0.8625691456668716,0.8625691456668716,0.8625691456668716,0.8625691456668716
macro avg,0.8662169676349928,0.8654718347751229,0.8625598228275944,32540.0
weighted avg,0.8690042118852827,0.8625691456668716,0.8624994330925747,32540.0
