,classification_accuracy,classification_auc,classification_f1_score,classification_fn,classification_fp,classification_loss,classification_precision,classification_recall,classification_top_k_categorical_accuracy,loss,reconstruction_loss,val_classification_accuracy,val_classification_auc,val_classification_f1_score,val_classification_fn,val_classification_fp,val_classification_loss,val_classification_precision,val_classification_recall,val_classification_top_k_categorical_accuracy,val_loss,val_reconstruction_loss,learning_rate
0,0.2542027235031128,0.6342073678970337,0.2681340277194977,598138.0,7703.0,0.34212830662727356,0.9023614525794983,0.10636040568351746,0.5164628028869629,0.3523402810096741,0.002027320209890604,0.27397236227989197,0.6495482921600342,0.25931432843208313,204699.0,759.0,0.33795246481895447,0.9723406434059143,0.11531629413366318,0.4641132950782776,0.34234297275543213,0.0002795850159600377,0.0010000000474974513
1,0.26027747988700867,0.6397664546966553,0.2755303978919983,594357.0,5181.0,0.336559921503067,0.935360312461853,0.11200936138629913,0.5241301655769348,0.33987337350845337,0.00025605407427065074,0.2331392765045166,0.649406909942627,0.22108232975006104,200911.0,1443.0,0.3347539007663727,0.9547833204269409,0.13168756663799286,0.4100639224052429,0.33733391761779785,0.0003062042815145105,0.0010000000474974513
2,0.25866690278053284,0.6376236081123352,0.27176225185394287,595358.0,5067.0,0.33753281831741333,0.935890793800354,0.1105138286948204,0.5219742655754089,0.34094658493995667,0.0002525047166272998,0.2246295064687729,0.6470683217048645,0.23332791030406952,202150.0,1427.0,0.33625635504722595,0.9534542560577393,0.12633275985717773,0.41569098830223083,0.3389250934123993,0.00037939264439046383,0.0010000000474974513
3,0.2607421278953552,0.6390542984008789,0.27687394618988037,593908.0,4933.0,0.33648064732551575,0.9386084079742432,0.11268018186092377,0.5239807963371277,0.3397848904132843,0.0002508060133550316,0.26100674271583557,0.6534320116043091,0.25484687089920044,200028.0,1340.0,0.33832627534866333,0.9590126276016235,0.13550378382205963,0.45980870723724365,0.34083065390586853,0.0003074333944823593,0.0010000000474974513
4,0.2579587399959564,0.6364417672157288,0.2700374722480774,597089.0,5389.0,0.33848392963409424,0.9305791854858398,0.10792765021324158,0.5206894278526306,0.3418290913105011,0.00026414566673338413,0.23475566506385803,0.646958589553833,0.2259783148765564,200772.0,2373.0,0.3357376158237457,0.9280516505241394,0.13228830695152283,0.4320017695426941,0.3381313979625702,0.0003106015210505575,0.0010000000474974513
5,0.26847225427627563,0.6452842950820923,0.28269392251968384,589517.0,3458.0,0.3343028426170349,0.958471953868866,0.11924049258232117,0.5283792018890381,0.3371354639530182,0.00019251287449151278,0.2501544952392578,0.655594527721405,0.2553814947605133,196788.0,2442.0,0.33365586400032043,0.9340623617172241,0.14950665831565857,0.42641356587409973,0.3359571099281311,0.00021161134645808488,0.0005000000237487257
6,0.2706834375858307,0.647034227848053,0.285352498292923,588984.0,3461.0,0.3338432013988495,0.9587017297744751,0.12003681063652039,0.5308712720870972,0.3367820382118225,0.0001921291695907712,0.2507898211479187,0.6596016883850098,0.2542062997817993,199018.0,2321.0,0.3366791009902954,0.9330815076828003,0.1398688703775406,0.43864017724990845,0.33928316831588745,0.00019676673400681466,0.0005000000237487257
7,0.27251362800598145,0.6466318964958191,0.2865588068962097,588062.0,2390.0,0.33374467492103577,0.9714305996894836,0.12141431123018265,0.5298882126808167,0.336635947227478,0.00019051051640417427,0.2568274736404419,0.6578407883644104,0.2586844265460968,198083.0,791.0,0.3339565694332123,0.97679603099823,0.14390982687473297,0.42753294110298157,0.3364809453487396,0.00021597044542431831,0.0005000000237487257
8,0.27073273062705994,0.6464977264404297,0.28434205055236816,588099.0,2875.0,0.33359599113464355,0.9658161401748657,0.12135903537273407,0.5299046039581299,0.33653557300567627,0.00019183130643796176,0.26199644804000854,0.6571393013000488,0.2587321996688843,199128.0,1622.0,0.3329116702079773,0.9521180987358093,0.13939346373081207,0.43801349401474,0.33551523089408875,0.00018810581241268665,0.0005000000237487257
9,0.2710913121700287,0.6477845907211304,0.28676414489746094,587825.0,2808.0,0.33354613184928894,0.966694712638855,0.12176840007305145,0.5301885008811951,0.3365761637687683,0.00018844235455617309,0.25071635842323303,0.6588712930679321,0.24303974211215973,199282.0,2581.0,0.33777281641960144,0.9255766868591309,0.13872790336608887,0.4372614920139313,0.34052276611328125,0.0002220324386144057,0.0005000000237487257
