,classification_accuracy,classification_auc,classification_f1_score,classification_fn,classification_fp,classification_loss,classification_precision,classification_recall,classification_top_k_categorical_accuracy,loss,reconstruction_loss,val_classification_accuracy,val_classification_auc,val_classification_f1_score,val_classification_fn,val_classification_fp,val_classification_loss,val_classification_precision,val_classification_recall,val_classification_top_k_categorical_accuracy,val_loss,val_reconstruction_loss,learning_rate
0,0.6405946016311646,0.9328608512878418,0.641538143157959,182284.0,22660.0,0.1349690556526184,0.853689432144165,0.4204006493091583,0.9193799495697021,0.15227141976356506,0.004675888456404209,0.8581376671791077,0.9731980562210083,0.5176445841789246,2561.0,319.0,0.06406167149543762,0.96844083070755,0.7926315665245056,0.9530364274978638,0.07358065992593765,0.0008167911437340081,0.0010000000474974513
1,0.670966625213623,0.9428915977478027,0.6714329719543457,170635.0,19499.0,0.11373205482959747,0.8806408047676086,0.4574403762817383,0.9379491209983826,0.12328623235225677,0.0004580445238389075,0.8529554605484009,0.9619413614273071,0.5142520666122437,2555.0,454.0,0.06472302973270416,0.9557030200958252,0.7931174039840698,0.9593522548675537,0.07404500246047974,0.0007154076010920107,0.0010000000474974513
2,0.6714212894439697,0.9427298307418823,0.6718891859054565,170566.0,19185.0,0.11388696730136871,0.8823865056037903,0.4576597809791565,0.9371733069419861,0.12313714623451233,0.00045869688619859517,0.8597570657730103,0.9757669568061829,0.5291104316711426,2560.0,359.0,0.06131470203399658,0.9646270275115967,0.7927125692367554,0.9604858160018921,0.07052908092737198,0.0005897178198210895,0.0010000000474974513
3,0.673246443271637,0.9430527687072754,0.6737645268440247,170551.0,19372.0,0.11358409374952316,0.881386935710907,0.4577074646949768,0.9382511973381042,0.12291407585144043,0.00047785465721972287,0.8660728931427002,0.9746599197387695,0.5381954312324524,2384.0,398.0,0.06435460597276688,0.9615978598594666,0.8069635629653931,0.9587044715881348,0.0737212598323822,0.0005289627588354051,0.0010000000474974513
4,0.6717265248298645,0.9430534243583679,0.6722801327705383,170561.0,19697.0,0.1134835034608841,0.8796291947364807,0.45767566561698914,0.9380604028701782,0.12278483808040619,0.0004688743792939931,0.8578947186470032,0.9761077761650085,0.515525221824646,2499.0,330.0,0.05916103720664978,0.9675866961479187,0.7976518273353577,0.9523077011108398,0.06851015239953995,0.0005158156855031848,0.0010000000474974513
5,0.6726009249687195,0.9430867433547974,0.6732125282287598,170475.0,19666.0,0.11345598846673965,0.8798590302467346,0.45794913172721863,0.9381812214851379,0.1227840855717659,0.0004637211677618325,0.8553845882415771,0.9742559194564819,0.5223533511161804,2454.0,565.0,0.06407523155212402,0.9459898471832275,0.8012955188751221,0.9587854146957397,0.0733153373003006,0.0005022030090913177,0.0010000000474974513
6,0.6726645231246948,0.9430934190750122,0.6732916831970215,170402.0,19367.0,0.1134844496846199,0.8815220594406128,0.458181232213974,0.9383942484855652,0.12269219756126404,0.0004771091334987432,0.865667998790741,0.9763280153274536,0.5390408635139465,2369.0,380.0,0.06334659457206726,0.9633240103721619,0.8081781268119812,0.9582186341285706,0.07256393879652023,0.0005614603287540376,0.0010000000474974513
7,0.6726295948028564,0.9428491592407227,0.6730353236198425,170648.0,19577.0,0.11394718289375305,0.8802109956741333,0.45739904046058655,0.9378123879432678,0.1231193020939827,0.00048119554412551224,0.8602429032325745,0.972192108631134,0.5328787565231323,2465.0,460.0,0.0702567771077156,0.9555341005325317,0.8004048466682434,0.9500404596328735,0.07971148192882538,0.0009672529995441437,0.0010000000474974513
8,0.68239426612854,0.9457458257675171,0.6829596757888794,165795.0,18677.0,0.109147809445858,0.8884168863296509,0.4728298783302307,0.9413449764251709,0.11657217890024185,0.0003995081060566008,0.8621862530708313,0.976298987865448,0.5274239778518677,2487.0,284.0,0.058142151683568954,0.9720114469528198,0.7986235022544861,0.961052656173706,0.06512164324522018,0.0004600021638907492,0.0005000000237487257
9,0.681891918182373,0.9457101821899414,0.68244868516922,166219.0,18574.0,0.10913509130477905,0.8886817693710327,0.47148171067237854,0.9409825205802917,0.11654133349657059,0.0003924309276044369,0.8606477975845337,0.9767705202102661,0.5235227346420288,2451.0,275.0,0.05811898410320282,0.9729703068733215,0.8015384674072266,0.9606477618217468,0.0650010034441948,0.0004886816604994237,0.0005000000237487257
10,0.6805055737495422,0.9455901384353638,0.6810656189918518,166219.0,18525.0,0.10920077562332153,0.8889428377151489,0.47148171067237854,0.9412941336631775,0.11647874861955643,0.00038443991797976196,0.8618623614311218,0.9747735857963562,0.5276447534561157,2452.0,321.0,0.06011050567030907,0.9685879349708557,0.8014574646949768,0.9593522548675537,0.06702710688114166,0.00046842615120112896,0.0005000000237487257
