,precision,recall,f1-score,support
Flood,0.9813940572063315,0.5348448377751193,0.6923625914851734,138758.0
Rare,0.7189364314890133,0.9915498033092099,0.8335188705202866,166505.0
accuracy,0.7839535089414701,0.7839535089414701,0.7839535089414701,0.7839535089414701
macro avg,0.8501652443476724,0.7631973205421646,0.7629407310027301,305263.0
weighted avg,0.8382371499818658,0.7839535089414701,0.769355958649689,305263.0
