,classification_accuracy,classification_auc,classification_f1_score,classification_loss,classification_precision,classification_recall,loss,reconstruction_loss,val_classification_accuracy,val_classification_auc,val_classification_f1_score,val_classification_loss,val_classification_precision,val_classification_recall,val_loss,val_reconstruction_loss,learning_rate
0,0.6156858205795288,0.6528916954994202,0.61476069688797,0.23001331090927124,0.6156858205795288,0.6156858205795288,0.3457821309566498,0.1601160615682602,0.7434526085853577,0.7969610691070557,0.7434426546096802,0.08938595652580261,0.7434526085853577,0.7434526085853577,0.19242630898952484,0.06318958848714828,9.999999747378752e-05
1,0.6672167778015137,0.7213680148124695,0.6662067174911499,0.14422233402729034,0.6672167778015137,0.6672167778015137,0.23898376524448395,0.03188719227910042,0.7595598101615906,0.8314208388328552,0.7595411539077759,0.07159178704023361,0.7595598101615906,0.7595598101615906,0.1594933420419693,0.020103858783841133,9.999999747378752e-05
2,0.6710882186889648,0.7252355813980103,0.6701407432556152,0.14113971590995789,0.6710882186889648,0.6710882186889648,0.2351040095090866,0.03199301287531853,0.7622033953666687,0.8347373604774475,0.7621831297874451,0.0701647475361824,0.7622033953666687,0.7622033953666687,0.15677818655967712,0.021063443273305893,9.999999747378752e-05
3,0.6726771593093872,0.7276611924171448,0.6717566251754761,0.13895830512046814,0.6726771593093872,0.6726771593093872,0.23242640495300293,0.031207727268338203,0.7612811923027039,0.8362693786621094,0.7612611055374146,0.06877687573432922,0.7612811923027039,0.7612811923027039,0.15466131269931793,0.02064884640276432,9.999999747378752e-05
4,0.6715973615646362,0.7267848253250122,0.6706766486167908,0.1394176185131073,0.6715973615646362,0.6715973615646362,0.23252421617507935,0.030604606494307518,0.7557482123374939,0.8356109857559204,0.7556803226470947,0.06879933178424835,0.7557482123374939,0.7557482123374939,0.1541033387184143,0.02023126184940338,9.999999747378752e-05
5,0.6727210283279419,0.7286966443061829,0.6718391180038452,0.13826246559619904,0.6727269291877747,0.6727210283279419,0.2311277687549591,0.030119016766548157,0.7622648477554321,0.8381887078285217,0.7622544765472412,0.06855127960443497,0.7622648477554321,0.7622648477554321,0.1534917652606964,0.019942739978432655,9.999999747378752e-05
6,0.6725015640258789,0.7284809350967407,0.6715340614318848,0.13847273588180542,0.6725015640258789,0.6725015640258789,0.23118306696414948,0.029744049534201622,0.7695807218551636,0.8383545875549316,0.769574761390686,0.06868918240070343,0.7695807218551636,0.7695807218551636,0.15335804224014282,0.019650792703032494,9.999999747378752e-05
7,0.6727649569511414,0.7286879420280457,0.671851396560669,0.13833346962928772,0.6727649569511414,0.6727649569511414,0.23090869188308716,0.029358522966504097,0.7695192694664001,0.8384659290313721,0.7695088386535645,0.06865701824426651,0.7695192694664001,0.7695192694664001,0.15315215289592743,0.018868274986743927,9.999999747378752e-05
8,0.6739237308502197,0.7302041053771973,0.6730297803878784,0.13816075026988983,0.6739237308502197,0.6739237308502197,0.23067468404769897,0.029233021661639214,0.7580228447914124,0.8386615514755249,0.7579500675201416,0.0686982125043869,0.7580228447914124,0.7580228447914124,0.153101846575737,0.019314168021082878,9.999999747378752e-05
9,0.6721855401992798,0.7282608151435852,0.6713258028030396,0.138312429189682,0.6721855401992798,0.6721855401992798,0.23077355325222015,0.02905646339058876,0.7678593397140503,0.8389793038368225,0.7678588628768921,0.06843480467796326,0.7678593397140503,0.7678593397140503,0.1527697592973709,0.019183332100510597,9.999999747378752e-05
10,0.6727649569511414,0.7273619174957275,0.6718906164169312,0.13821254670619965,0.6727649569511414,0.6727649569511414,0.2306584119796753,0.028900405392050743,0.7620804309844971,0.8364523649215698,0.7620524764060974,0.06847651302814484,0.7620804309844971,0.7620804309844971,0.1528128981590271,0.019107133150100708,9.999999747378752e-05
