,classification_accuracy,classification_auc,classification_f1_score,classification_loss,classification_precision,classification_recall,loss,reconstruction_loss,val_classification_accuracy,val_classification_auc,val_classification_f1_score,val_classification_loss,val_classification_precision,val_classification_recall,val_loss,val_reconstruction_loss,learning_rate
0,0.6051777005195618,0.78515625,0.26482370495796204,0.16295157372951508,0.9001445770263672,0.4043823182582855,0.21009288728237152,0.010867185890674591,0.699004054069519,0.8834095001220703,0.311379611492157,0.1039319708943367,0.8981817960739136,0.5162916779518127,0.1220797523856163,0.0006944124470464885,0.0010000000474974513
1,0.7087576389312744,0.8926336169242859,0.3544263541698456,0.09467511624097824,0.9113321304321289,0.5107802748680115,0.10769511014223099,0.0004516820772551,0.7143735289573669,0.9257689714431763,0.34854012727737427,0.08855092525482178,0.8718927502632141,0.5477069020271301,0.09835770726203918,0.0003706306451931596,0.0010000000474974513
2,0.7088541984558105,0.8945403099060059,0.3567538261413574,0.09416425973176956,0.9092570543289185,0.5110699534416199,0.10636456310749054,0.0004361883329693228,0.7161564230918884,0.8931760787963867,0.358216792345047,0.0887509360909462,0.9287270903587341,0.5239149332046509,0.0973566323518753,0.0003525381616782397,0.0010000000474974513
3,0.7082923650741577,0.8971132040023804,0.3530956506729126,0.09385813772678375,0.9091978073120117,0.5091210603713989,0.10558408498764038,0.0004307170456741005,0.725132167339325,0.9275681376457214,0.3801254630088806,0.08539284020662308,0.9520084261894226,0.5012295842170715,0.09397277235984802,0.00034790366771630943,0.0010000000474974513
4,0.707177460193634,0.891608715057373,0.3523060381412506,0.09447073191404343,0.909676730632782,0.5105870962142944,0.10615506023168564,0.0004290771030355245,0.7013401985168457,0.9134491086006165,0.35020390152931213,0.09307954460382462,0.927140474319458,0.509283185005188,0.10148350894451141,0.0003510561364237219,0.0010000000474974513
5,0.7103553414344788,0.8922654390335083,0.3549685478210449,0.09425689280033112,0.909044086933136,0.5115088820457458,0.10618916153907776,0.00042819330701604486,0.7081027626991272,0.9219273328781128,0.34111085534095764,0.09246212244033813,0.8717339634895325,0.5640599727630615,0.10109099745750427,0.0003450941003393382,0.0010000000474974513
6,0.7082396745681763,0.8938322067260742,0.35361790657043457,0.09390334039926529,0.9093074798583984,0.5126150250434875,0.10552120208740234,0.0004288754134904593,0.7133284211158752,0.9138224720954895,0.3192881941795349,0.09414584189653397,0.9382715821266174,0.509283185005188,0.1022217720746994,0.0003485815832391381,0.0010000000474974513
7,0.7079236507415771,0.8979981541633606,0.3510015606880188,0.09363009035587311,0.9098374843597412,0.511587917804718,0.10578449070453644,0.0004908507689833641,0.7248247861862183,0.9174269437789917,0.3426801264286041,0.08656100183725357,0.9236284494400024,0.5226853489875793,0.09503861516714096,0.0004270344215910882,0.0005000000237487257
8,0.7106889486312866,0.897996723651886,0.35436388850212097,0.09331437945365906,0.9121599197387695,0.5106837153434753,0.10566621273756027,0.0004909554845653474,0.72181236743927,0.9190038442611694,0.36489033699035645,0.089174285531044,0.9352078437805176,0.5173367857933044,0.09789799898862839,0.00042603613110259175,0.0005000000237487257
9,0.7096267342567444,0.897619366645813,0.3540158271789551,0.0934600904583931,0.9093456864356995,0.5127642154693604,0.10593874007463455,0.0004912354634143412,0.7233493328094482,0.8953812718391418,0.3609732687473297,0.08791650086641312,0.936489999294281,0.509467601776123,0.09685751050710678,0.0004269354394637048,0.0005000000237487257
10,0.7071950435638428,0.8953970074653625,0.3502506613731384,0.09406697005033493,0.9113760590553284,0.5086206793785095,0.10792624950408936,0.0005467396695166826,0.7259928584098816,0.9190966486930847,0.3366665244102478,0.08740758895874023,0.9408323764801025,0.5142014026641846,0.09796486049890518,0.0004967185668647289,0.0002500000118743628
