,precision,recall,f1-score,support
Normal,0.9321031312287018,0.8458980044345898,0.886910770548469,17138.0
Generic,0.9877250409165302,0.7940789473684211,0.8803792851932896,1520.0
Exploits,0.8635008029364533,0.6820076100742888,0.7620975906053857,5519.0
Fuzzers,0.5169653069004956,0.6469465648854962,0.5746980292434838,4192.0
Recon-Shellcode,0.6123822341857336,0.7951070336391437,0.6918836723056453,2289.0
Medium,0.407465495608532,0.6902231668437833,0.5124260355029586,1882.0
accuracy,0.7774738783036264,0.7774738783036264,0.7774738783036264,0.7774738783036264
macro avg,0.7200236686294078,0.7423768878742871,0.7180658972332054,32540.0
weighted avg,0.8167516293764654,0.7774738783036264,0.7898374789495225,32540.0
