,classification_accuracy,classification_auc,classification_f1_score,classification_fn,classification_fp,classification_loss,classification_precision,classification_recall,classification_top_k_categorical_accuracy,loss,reconstruction_loss,val_classification_accuracy,val_classification_auc,val_classification_f1_score,val_classification_fn,val_classification_fp,val_classification_loss,val_classification_precision,val_classification_recall,val_classification_top_k_categorical_accuracy,val_loss,val_reconstruction_loss,learning_rate
0,0.17965957522392273,0.6160637140274048,0.16496150195598602,22632.0,2311.0,0.4657447636127472,0.27304184436798096,0.03693617135286331,0.4270212650299072,0.5600045323371887,0.09572476148605347,0.11662058532238007,0.65699303150177,0.03294961154460907,16275.0,0.0,0.42949557304382324,0.0,0.0,0.282150536775589,0.502367377281189,0.026094073429703712,0.0010000000474974513
1,0.20787234604358673,0.6538775563240051,0.19363102316856384,22689.0,1522.0,0.4081946313381195,0.3476210832595825,0.03451063856482506,0.4760425388813019,0.471910685300827,0.014714478515088558,0.49493086338043213,0.8088709115982056,0.2720906734466553,16275.0,0.0,0.35059845447540283,0.0,0.0,0.6543164253234863,0.4074490964412689,0.012648766860365868,0.0010000000474974513
2,0.2085106372833252,0.6495282053947449,0.19356124103069305,22645.0,1566.0,0.41286900639533997,0.3531598448753357,0.03638297691941261,0.4762127697467804,0.47617071866989136,0.014874937944114208,0.5805222988128662,0.7795268893241882,0.2897246778011322,16275.0,0.0,0.3259386122226715,0.0,0.0,0.6784024834632874,0.3819723427295685,0.012092538177967072,0.0010000000474974513
3,0.20736169815063477,0.6501895189285278,0.1914340704679489,22716.0,1536.0,0.410083144903183,0.3379310369491577,0.03336170315742493,0.47229787707328796,0.4734044075012207,0.014736794866621494,0.5774500966072083,0.8122178316116333,0.26149243116378784,16259.0,0.0,0.32618245482444763,1.0,0.0009831029456108809,0.6809216737747192,0.38206425309181213,0.011959310621023178,0.0010000000474974513
4,0.21438297629356384,0.654853880405426,0.19721658527851105,22686.0,1548.0,0.4051602780818939,0.3446232080459595,0.03463829681277275,0.47697871923446655,0.4680354595184326,0.014577822759747505,0.3019969165325165,0.8016451597213745,0.24999761581420898,16275.0,0.0,0.37311461567878723,0.0,0.0,0.4962826371192932,0.4288785457611084,0.011611011810600758,0.0010000000474974513
5,0.21578723192214966,0.6519514322280884,0.19953852891921997,22671.0,1531.0,0.4115270972251892,0.3512711822986603,0.03527659550309181,0.48280850052833557,0.47421538829803467,0.014351777732372284,0.31293395161628723,0.8004953265190125,0.22301682829856873,16275.0,6.0,0.3709462285041809,0.0,0.0,0.508571445941925,0.42634400725364685,0.010785378515720367,0.0010000000474974513
6,0.20446808636188507,0.6507128477096558,0.19094988703727722,22688.0,1559.0,0.4107038974761963,0.34247153997421265,0.03455319255590439,0.46953192353248596,0.4773877263069153,0.01704561524093151,0.5236866474151611,0.7667533755302429,0.2632570266723633,16275.0,0.0,0.324004203081131,0.0,0.0,0.6718279719352722,0.38537630438804626,0.015243899077177048,0.0005000000237487257
7,0.20748935639858246,0.6483179926872253,0.19224020838737488,22615.0,1580.0,0.4155023694038391,0.35902637243270874,0.037659574300050735,0.473489373922348,0.4816775321960449,0.016487371176481247,0.41708141565322876,0.8021854162216187,0.24815289676189423,16274.0,0.0,0.35387659072875977,1.0,6.144393410068005e-05,0.6231643557548523,0.4150609076023102,0.014838563278317451,0.0005000000237487257
8,0.212382972240448,0.6526689529418945,0.19633884727954865,22630.0,1513.0,0.40968894958496094,0.36508601903915405,0.037021275609731674,0.47672340273857117,0.4759676158428192,0.016643691807985306,0.3980337977409363,0.7960956692695618,0.2263740748167038,16275.0,0.0,0.3575955033302307,0.0,0.0,0.5957603454589844,0.41882872581481934,0.014886048622429371,0.0005000000237487257
9,0.2046383023262024,0.646514892578125,0.18968245387077332,22684.0,1638.0,0.41640135645866394,0.3325183391571045,0.03472340479493141,0.46978724002838135,0.48564767837524414,0.01881047897040844,0.4970199763774872,0.7891522645950317,0.24637369811534882,16275.0,0.0,0.3372817635536194,0.0,0.0,0.6543778777122498,0.4032231271266937,0.01916288025677204,0.0002500000118743628
10,0.20744681358337402,0.6495453715324402,0.19152233004570007,22686.0,1628.0,0.4131217896938324,0.3333333432674408,0.03463829681277275,0.4717872440814972,0.4820960462093353,0.018580187112092972,0.4976344108581543,0.7856480479240417,0.24760346114635468,16275.0,0.0,0.349303662776947,0.0,0.0,0.6458986401557922,0.4151451885700226,0.018802788108587265,0.0002500000118743628
