name,normal_weight,attack_weight,gamma,alpha,threshold,calibration,val_macro_f1,val_normal_recall,val_attack_recall,test_macro_f1,test_normal_recall,test_attack_recall
less_focal,5.0,8.0,2.0,0.35,0.7799999999999999,isotonic,0.5954267641996094,0.4649652376697252,0.764531153974706,0.5946545666464915,0.4655536909094872,0.7629597084604686
normal_boost,8.0,6.0,1.5,0.45,0.7799999999999999,isotonic,0.5755000132142991,0.5641087112874049,0.6764116055159625,0.5742770608909384,0.5640324303118802,0.674492447357923
baseline,5.0,10.0,3.0,0.25,0.7799999999999999,isotonic,0.5719454411386459,0.5791469607479894,0.6627942080238062,0.5725337439316976,0.5836366410217292,0.6614006620017466
balanced_weights,7.0,7.0,2.0,0.4,0.7799999999999999,isotonic,0.5565146476161873,0.5979120807270667,0.6283463972657387,0.556430152843713,0.6009306279014014,0.6266913928991148
