,classification_accuracy,classification_auc,classification_f1_score,classification_loss,classification_precision,classification_recall,loss,reconstruction_loss,val_classification_accuracy,val_classification_auc,val_classification_f1_score,val_classification_loss,val_classification_precision,val_classification_recall,val_loss,val_reconstruction_loss,learning_rate
0,0.392873615026474,0.824164867401123,0.39153197407722473,0.32631975412368774,0.6238416433334351,0.1672869622707367,0.3982195258140564,0.08229875564575195,0.46544939279556274,0.745834231376648,0.24874143302440643,0.07658415287733078,0.8716418147087097,0.07180622220039368,0.12254877388477325,0.002261559246107936,0.0005000000237487257
1,0.52727210521698,0.8863091468811035,0.5123710632324219,0.2316959947347641,0.765070378780365,0.24017000198364258,0.2662392556667328,0.0021423464640975,0.575310468673706,0.8480183482170105,0.3333215117454529,0.062157899141311646,0.8939828276634216,0.19181114435195923,0.08775074779987335,0.000624080013949424,0.0005000000237487257
2,0.5262770056724548,0.8865787386894226,0.5119026899337769,0.23048920929431915,0.7640159726142883,0.23987767100334167,0.2640305161476135,0.0020019805524498224,0.5628919005393982,0.8523066639900208,0.3230944275856018,0.06319823861122131,0.8609803318977356,0.19113488495349884,0.08763023465871811,0.0005977407563477755,0.0005000000237487257
3,0.5299369096755981,0.8869813680648804,0.5143266916275024,0.2309316098690033,0.7701496481895447,0.24249187111854553,0.26421058177948,0.0018800081452354789,0.5598180294036865,0.8560546040534973,0.33256009221076965,0.0650259405374527,0.8716356158256531,0.2070576697587967,0.08913954347372055,0.0005814909236505628,0.0005000000237487257
4,0.5290936231613159,0.8870686292648315,0.5137878656387329,0.2307317554950714,0.770037055015564,0.24079404771327972,0.26388561725616455,0.0018107868963852525,0.5549612641334534,0.852725625038147,0.32855427265167236,0.06377800554037094,0.8781163692474365,0.17539653182029724,0.08786275237798691,0.0005702396156266332,0.0005000000237487257
5,0.5316853523254395,0.8873214721679688,0.5159894824028015,0.23016631603240967,0.7673511505126953,0.24222764372825623,0.263375461101532,0.0017642120365053415,0.5560063719749451,0.8497428894042969,0.3303961455821991,0.06449102610349655,0.8328471183776855,0.17551948130130768,0.08865221589803696,0.0005669163656421006,0.0005000000237487257
6,0.5138581395149231,0.8813819885253906,0.5030598640441895,0.235378697514534,0.7600576877593994,0.22803781926631927,0.2731728255748749,0.002357308752834797,0.5321529507637024,0.8134190440177917,0.30417370796203613,0.07001086324453354,0.8453856706619263,0.1509283185005188,0.10054702311754227,0.0006604264490306377,0.0002500000118743628
7,0.5145158767700195,0.8808146715164185,0.5034462213516235,0.2358320653438568,0.7598596215248108,0.2263849675655365,0.27362287044525146,0.002429972868412733,0.542112410068512,0.8065609931945801,0.30548086762428284,0.07055313140153885,0.8869395852088928,0.1398622840642929,0.10121617466211319,0.0006649168208241463,0.0002500000118743628
8,0.5131778717041016,0.8812732696533203,0.5026141405105591,0.2355917990207672,0.7579627633094788,0.22623316943645477,0.2734335660934448,0.0024424693547189236,0.5260051488876343,0.8177701234817505,0.30514422059059143,0.07054171711206436,0.8343492150306702,0.1430591344833374,0.10134861618280411,0.0006661451770924032,0.0002500000118743628
9,0.5027041435241699,0.8771480321884155,0.49635249376296997,0.23997516930103302,0.7502767443656921,0.21721555292606354,0.28133726119995117,0.003492285730317235,0.49342185258865356,0.777826189994812,0.2861584424972534,0.07466883957386017,0.8810811042785645,0.11022992432117462,0.11134576797485352,0.0007566342828795314,0.0001250000059371814
10,0.5010344386100769,0.8763576745986938,0.4953138828277588,0.2406998872756958,0.7472400069236755,0.217277392745018,0.2820168733596802,0.0036840185057371855,0.5215787291526794,0.7853045463562012,0.29015854001045227,0.07211358100175858,0.8627711534500122,0.1198204830288887,0.10868795961141586,0.0007578965742141008,0.0001250000059371814
11,0.503491222858429,0.8767542839050293,0.49778565764427185,0.23980049788951874,0.7523709535598755,0.21809257566928864,0.2811112403869629,0.003781308652833104,0.5068240761756897,0.7769361734390259,0.28382784128189087,0.07378748059272766,0.8487276434898376,0.11072175204753876,0.11033210903406143,0.0007596012437716126,0.0001250000059371814
12,0.49533939361572266,0.8743213415145874,0.4906246066093445,0.24310989677906036,0.7432239651679993,0.21058164536952972,0.28664901852607727,0.005259865429252386,0.49735644459724426,0.7619065046310425,0.2714774012565613,0.0750880241394043,0.8665628433227539,0.10260666161775589,0.11570577323436737,0.0012543798657134175,6.25000029685907e-05
13,0.49547433853149414,0.8739668726921082,0.4907073974609375,0.2435789704322815,0.7445597648620605,0.2117847502231598,0.2870613634586334,0.005323664750903845,0.49237674474716187,0.7626064419746399,0.2717640995979309,0.07582009583711624,0.8612310886383057,0.09805729985237122,0.11642994731664658,0.0012935465201735497,6.25000029685907e-05
14,0.4954068660736084,0.8743119239807129,0.4917275309562683,0.2431783527135849,0.7446340322494507,0.21317899227142334,0.28670841455459595,0.005325215868651867,0.4900405704975128,0.7625605463981628,0.26794642210006714,0.07495106756687164,0.8721436262130737,0.09854912012815475,0.11557050794363022,0.0012822485296055675,6.25000029685907e-05
15,0.48966121673583984,0.8725988268852234,0.4872617721557617,0.245250403881073,0.7381891012191772,0.2073996216058731,0.29003551602363586,0.005973818711936474,0.48229435086250305,0.7535390853881836,0.26196861267089844,0.07660312950611115,0.8657435178756714,0.08840525895357132,0.11967936158180237,0.0017691862303763628,3.125000148429535e-05
